Dataset;Layer config;lr;Alpha;Beta;Accuracy;Precision;Recall;F1;Loss
FASHION MNIST;[784, 10, 10, 10];0.001;0.55;0.7;0.764;0.762;0.764;0.75;0.576
FASHION MNIST;[784, 10, 10, 10];0.001;0.45;0.7;0.764;0.777;0.764;0.758;0.598
FASHION MNIST;[784, 100, 10];0.001;0.5;0.7;0.761;0.789;0.761;0.754;0.404
FASHION MNIST;[784, 10, 10, 10];0.001;0.7;0.8;0.76;0.76;0.76;0.743;0.626
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.9;0.5;0.759;0.765;0.759;0.754;0.6
FASHION MNIST;[784, 100, 10];0.001;0.5;0.6;0.758;0.787;0.758;0.749;0.397
FASHION MNIST;[784, 100, 10];0.001;0.5;0.4;0.757;0.783;0.757;0.745;0.388
FASHION MNIST;[784, 10, 10, 10];0.001;0.7;0.6;0.753;0.742;0.753;0.729;0.729
FASHION MNIST;[784, 10, 10, 10];0.001;0.75;0.4;0.753;0.733;0.753;0.721;0.669
FASHION MNIST;[784, 100, 10];0.001;0.65;0.6;0.752;0.785;0.752;0.745;0.432
FASHION MNIST;[784, 100, 10];0.001;0.8;0.4;0.751;0.78;0.751;0.74;0.431
FASHION MNIST;[784, 10, 10, 10];0.001;0.9;0.8;0.751;0.739;0.751;0.726;0.678
FASHION MNIST;[784, 100, 10];0.001;0.75;0.7;0.749;0.784;0.749;0.741;0.462
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.75;0.7;0.749;0.766;0.749;0.73;0.578
FASHION MNIST;[784, 100, 10];0.001;0.7;0.7;0.748;0.772;0.748;0.737;0.442
FASHION MNIST;[784, 100, 10];0.001;0.45;0.8;0.747;0.783;0.747;0.741;0.461
FASHION MNIST;[784, 10, 10, 10];0.001;0.95;0.5;0.745;0.753;0.745;0.733;0.66
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.55;0.8;0.744;0.769;0.744;0.737;0.694
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.85;0.4;0.742;0.757;0.743;0.737;0.606
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.75;0.8;0.74;0.75;0.74;0.73;0.628
FASHION MNIST;[784, 100, 10];0.001;0.55;0.6;0.738;0.768;0.738;0.726;0.396
FASHION MNIST;[784, 100, 10];0.001;0.6;0.6;0.737;0.781;0.737;0.723;0.407
FASHION MNIST;[784, 100, 10];0.001;0.8;0.7;0.737;0.775;0.736;0.726;0.48
FASHION MNIST;[784, 100, 10];0.001;0.75;0.4;0.735;0.777;0.735;0.719;0.421
FASHION MNIST;[784, 10, 10, 10];0.001;0.7;0.7;0.735;0.743;0.735;0.727;0.606
FASHION MNIST;[784, 100, 10];0.001;0.85;0.7;0.735;0.768;0.735;0.725;0.481
FASHION MNIST;[784, 100, 10];0.001;0.7;0.5;0.734;0.761;0.734;0.721;0.423
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.65;0.8;0.731;0.748;0.731;0.705;0.593
FASHION MNIST;[784, 100, 10];0.001;0.55;0.5;0.728;0.763;0.728;0.714;0.391
FASHION MNIST;[784, 10, 10, 10];0.001;0.7;0.7;0.726;0.731;0.726;0.706;0.728
FASHION MNIST;[784, 10, 10, 10];0.001;0.75;0.6;0.725;0.751;0.725;0.702;0.698
