Dataset;Layer config;lr;Beta;Reset Mechanism;Timesteps;Accuracy;Precision;Recall;F1;Loss
FASHION_MNIST;[784, 100, 10];0.001;0.75;subtract;16;0.674;0.731;0.674;0.641;0.384
FASHION_MNIST;[784, 100, 10];0.001;0.5;subtract;4;0.672;0.716;0.672;0.635;0.367
FASHION_MNIST;[784, 100, 10];0.01;0.8;zero;32;0.668;0.777;0.668;0.65;0.587
FASHION_MNIST;[784, 100, 10];0.001;0.4;zero;128;0.665;0.717;0.665;0.63;0.357
MNIST;[784, 10, 10, 10];0.1;0.95;zero;4;0.66;0.709;0.66;0.637;0.933
FASHION_MNIST;[784, 100, 10];0.001;0.75;zero;4;0.652;0.692;0.652;0.605;0.38
MNIST;[784, 20, 10, 10, 10];0.1;0.55;zero;128;0.643;0.692;0.636;0.6;0.966
FASHION_MNIST;[784, 10, 10, 10];0.01;0.9;subtract;32;0.64;0.633;0.64;0.572;0.889
FASHION_MNIST;[784, 100, 10];0.0001;0.8500000000000001;subtract;32;0.634;0.691;0.634;0.609;0.441
FASHION_MNIST;[784, 100, 10];0.001;0.4;zero;4;0.63;0.66;0.63;0.58;0.366
FASHION_MNIST;[784, 100, 10];0.0001;0.4;subtract;16;0.626;0.671;0.626;0.586;0.437
FASHION_MNIST;[784, 100, 10];0.1;0.6000000000000001;zero;16;0.612;0.639;0.612;0.587;0.902
FASHION_MNIST;[784, 10, 10, 10];0.1;0.4;subtract;16;0.609;0.6;0.61;0.565;1.02
MNIST;[784, 10, 10, 10];0.1;0.8;subtract;64;0.606;0.643;0.598;0.578;1.039
MNIST;[784, 20, 10, 10, 10];0.1;0.4;zero;4;0.603;0.629;0.596;0.577;0.971
MNIST;[784, 100, 10];0.1;0.65;zero;16;0.594;0.669;0.585;0.544;0.47
FASHION_MNIST;[784, 100, 10];0.0001;0.7000000000000001;subtract;128;0.585;0.649;0.585;0.538;0.402
FASHION_MNIST;[784, 100, 10];0.0001;0.55;subtract;32;0.577;0.651;0.577;0.527;0.422
FASHION_MNIST;[784, 100, 10];0.1;0.7000000000000001;zero;64;0.57;0.606;0.57;0.54;0.997
FASHION_MNIST;[784, 100, 10];0.1;0.9;subtract;4;0.565;0.65;0.565;0.514;0.881
MNIST;[784, 100, 10];0.1;0.9;subtract;4;0.561;0.63;0.555;0.513;0.471
MNIST;[784, 20, 10, 10, 10];0.1;0.4;zero;64;0.56;0.573;0.551;0.504;1.058
FASHION_MNIST;[784, 100, 10];0.1;0.7000000000000001;subtract;64;0.555;0.541;0.555;0.481;1.026
MNIST;[784, 20, 10, 10, 10];0.1;0.6000000000000001;subtract;4;0.542;0.598;0.533;0.475;0.992
FASHION_MNIST;[784, 100, 10];0.0001;0.75;subtract;4;0.542;0.616;0.542;0.476;0.445
FASHION_MNIST;[784, 100, 10];0.0001;0.7000000000000001;zero;128;0.534;0.61;0.534;0.471;0.42
MNIST;[784, 100, 10];0.1;0.6000000000000001;zero;16;0.526;0.648;0.517;0.478;0.492
MNIST;[784, 10, 10, 10];0.1;0.9;zero;64;0.518;0.407;0.506;0.428;1.012
FASHION_MNIST;[784, 100, 10];0.0001;0.95;zero;4;0.516;0.588;0.516;0.445;0.472
FASHION_MNIST;[784, 100, 10];0.0001;0.75;zero;32;0.511;0.594;0.511;0.445;0.439
MNIST;[784, 20, 10, 10, 10];0.1;0.45;zero;16;0.511;0.469;0.504;0.447;0.979
FASHION_MNIST;[784, 100, 10];0.1;0.4;subtract;128;0.509;0.601;0.509;0.445;0.753
FASHION_MNIST;[784, 100, 10];0.1;0.75;subtract;16;0.508;0.514;0.508;0.423;1.18
MNIST;[784, 20, 10, 10, 10];0.0001;0.8500000000000001;zero;128;0.504;0.53;0.495;0.47;1.636
FASHION_MNIST;[784, 100, 10];0.1;0.5;zero;4;0.501;0.642;0.502;0.413;0.801
MNIST;[784, 20, 10, 10, 10];0.1;0.6000000000000001;zero;64;0.489;0.477;0.476;0.406;1.1
MNIST;[784, 100, 10];0.1;0.7000000000000001;zero;64;0.485;0.574;0.479;0.415;0.601
MNIST;[784, 100, 10];0.1;0.75;subtract;16;0.483;0.506;0.475;0.404;0.551
MNIST;[784, 20, 10, 10, 10];0.1;0.7000000000000001;zero;8;0.473;0.383;0.463;0.364;1.36
FASHION_MNIST;[784, 10, 10, 10];0.1;0.6000000000000001;subtract;64;0.472;0.562;0.472;0.383;1.181
FASHION_MNIST;[784, 10, 10, 10];0.1;0.4;zero;16;0.462;0.377;0.462;0.358;1.043
MNIST;[784, 20, 10, 10, 10];0.1;0.7000000000000001;subtract;8;0.462;0.375;0.452;0.359;1.273
MNIST;[784, 20, 10, 10, 10];0.1;0.6000000000000001;zero;16;0.457;0.441;0.448;0.344;1.255
FASHION_MNIST;[784, 10, 10, 10];0.1;0.7000000000000001;zero;64;0.446;0.307;0.446;0.316;1.123
MNIST;[784, 10, 10, 10];0.1;0.95;zero;64;0.439;0.316;0.424;0.305;1.509
MNIST;[784, 20, 10, 10, 10];0.1;0.95;zero;8;0.438;0.454;0.431;0.363;1.476
FASHION_MNIST;[784, 10, 10, 10];0.1;0.55;zero;8;0.436;0.396;0.436;0.323;1.127
FASHION_MNIST;[784, 100, 10];0.1;0.4;subtract;64;0.419;0.538;0.419;0.345;0.753
FASHION_MNIST;[784, 10, 10, 10];0.1;0.55;subtract;4;0.412;0.373;0.412;0.321;1.206
MNIST;[784, 20, 10, 10, 10];0.1;0.75;subtract;64;0.383;0.325;0.371;0.231;1.506
FASHION_MNIST;[784, 20, 10, 10, 10];0.1;0.4;zero;64;0.371;0.286;0.371;0.266;1.411
FASHION_MNIST;[784, 20, 10, 10, 10];0.1;0.7000000000000001;subtract;8;0.371;0.263;0.37;0.26;1.359
FASHION_MNIST;[784, 20, 10, 10, 10];0.1;0.5;subtract;64;0.362;0.322;0.362;0.273;1.265
FASHION_MNIST;[784, 10, 10, 10];0.1;0.8500000000000001;zero;64;0.362;0.191;0.362;0.226;1.44
FASHION_MNIST;[784, 10, 10, 10];0.1;0.4;zero;8;0.352;0.268;0.352;0.231;1.198
MNIST;[784, 100, 10];0.1;0.7000000000000001;subtract;64;0.35;0.312;0.338;0.271;0.523
FASHION_MNIST;[784, 20, 10, 10, 10];0.1;0.45;zero;16;0.341;0.23;0.341;0.213;1.358
FASHION_MNIST;[784, 10, 10, 10];0.1;0.7000000000000001;subtract;16;0.328;0.316;0.328;0.235;1.333
FASHION_MNIST;[784, 20, 10, 10, 10];0.1;0.55;zero;128;0.324;0.232;0.324;0.19;1.425
MNIST;[784, 20, 10, 10, 10];0.1;0.65;zero;64;0.31;0.188;0.301;0.201;1.627
MNIST;[784, 20, 10, 10, 10];0.1;0.9;zero;32;0.295;0.174;0.286;0.18;1.764
FASHION_MNIST;[784, 10, 10, 10];0.1;0.8;subtract;64;0.289;0.272;0.289;0.189;1.517
FASHION_MNIST;[784, 10, 10, 10];0.1;0.95;zero;64;0.287;0.163;0.286;0.153;1.625
FASHION_MNIST;[784, 20, 10, 10, 10];0.1;0.8;subtract;128;0.286;0.182;0.286;0.143;1.478
FASHION_MNIST;[784, 10, 10, 10];0.1;0.5;zero;128;0.284;0.202;0.284;0.162;1.344
FASHION_MNIST;[784, 10, 10, 10];0.1;0.9;zero;64;0.283;0.172;0.283;0.152;1.519
FASHION_MNIST;[784, 20, 10, 10, 10];0.1;0.6000000000000001;zero;16;0.282;0.16;0.283;0.143;1.537
FASHION_MNIST;[784, 10, 10, 10];0.1;0.95;zero;4;0.278;0.138;0.278;0.15;1.458
MNIST;[784, 20, 10, 10, 10];0.1;0.75;subtract;8;0.273;0.263;0.261;0.161;1.787
FASHION_MNIST;[784, 20, 10, 10, 10];0.1;0.6000000000000001;zero;64;0.273;0.144;0.273;0.16;1.478
FASHION_MNIST;[784, 10, 10, 10];0.1;0.7000000000000001;subtract;4;0.272;0.182;0.272;0.17;1.262
FASHION_MNIST;[784, 20, 10, 10, 10];0.1;0.7000000000000001;zero;8;0.267;0.21;0.267;0.133;1.438
MNIST;[784, 100, 10];0.1;0.95;subtract;16;0.21;0.097;0.198;0.108;0.865
MNIST;[784, 20, 10, 10, 10];0.1;0.8;subtract;128;0.209;0.153;0.198;0.077;1.909
FASHION_MNIST;[784, 20, 10, 10, 10];0.1;0.75;subtract;8;0.199;0.109;0.198;0.07;1.744
MNIST;[784, 100, 10];0.1;0.95;subtract;32;0.189;0.088;0.18;0.083;1.096
MNIST;[784, 20, 10, 10, 10];0.1;0.9;subtract;16;0.183;0.11;0.175;0.104;2.129
FASHION_MNIST;[784, 20, 10, 10, 10];0.1;0.9;zero;32;0.15;0.08;0.15;0.055;2.185
MNIST;[784, 20, 10, 10, 10];0.1;0.95;subtract;128;0.113;0.011;0.1;0.02;2.323
FASHION_MNIST;[784, 100, 10];0.1;0.95;subtract;16;0.112;0.11;0.112;0.034;1.245
FASHION_MNIST;[784, 20, 10, 10, 10];0.1;0.75;subtract;64;0.1;0.01;0.1;0.018;2.31
FASHION_MNIST;[784, 20, 10, 10, 10];0.1;0.95;subtract;128;0.1;0.01;0.1;0.018;2.331
FASHION_MNIST;[784, 100, 10];0.1;0.95;subtract;32;0.1;0.01;0.1;0.019;2.35
