Dataset;Layer config;lr;Beta;Reset Mechanism;Timesteps;Accuracy;Precision;Recall;F1;Loss
MNIST;[784, 10, 10, 10];0.01;0.8;subtract;16;0.883;0.886;0.883;0.882;0.411
MNIST;[784, 10, 10, 10];0.01;0.5;zero;16;0.883;0.885;0.882;0.882;0.379
MNIST;[784, 20, 10, 10, 10];0.0001;0.7000000000000001;subtract;32;0.881;0.882;0.879;0.879;0.439
MNIST;[784, 100, 10];0.01;0.6000000000000001;subtract;8;0.881;0.89;0.88;0.881;0.14
MNIST;[784, 10, 10, 10];0.01;0.8500000000000001;zero;128;0.881;0.883;0.878;0.879;0.388
MNIST;[784, 100, 10];0.01;0.9;subtract;16;0.88;0.885;0.877;0.878;0.266
MNIST;[784, 10, 10, 10];0.01;0.7000000000000001;zero;4;0.88;0.879;0.876;0.875;0.402
MNIST;[784, 20, 10, 10, 10];0.0001;0.75;subtract;64;0.879;0.881;0.877;0.877;0.385
MNIST;[784, 100, 10];0.01;0.55;subtract;4;0.879;0.888;0.877;0.874;0.141
MNIST;[784, 20, 10, 10, 10];0.0001;0.7000000000000001;subtract;8;0.876;0.876;0.875;0.874;0.538
MNIST;[784, 100, 10];0.01;0.7000000000000001;zero;32;0.876;0.889;0.874;0.874;0.173
MNIST;[784, 100, 10];0.001;0.5;zero;16;0.874;0.884;0.874;0.872;0.093
MNIST;[784, 10, 10, 10];0.01;0.9;zero;4;0.874;0.876;0.869;0.869;0.405
MNIST;[784, 10, 10, 10];0.01;0.95;zero;16;0.873;0.875;0.871;0.87;0.542
MNIST;[784, 100, 10];0.001;0.55;zero;128;0.871;0.885;0.871;0.868;0.09
MNIST;[784, 100, 10];0.001;0.5;zero;32;0.871;0.882;0.87;0.867;0.092
MNIST;[784, 10, 10, 10];0.001;0.9;zero;16;0.87;0.869;0.867;0.867;0.392
MNIST;[784, 20, 10, 10, 10];0.001;0.8500000000000001;zero;16;0.869;0.874;0.867;0.867;0.321
MNIST;[784, 10, 10, 10];0.001;0.8500000000000001;zero;4;0.867;0.869;0.864;0.863;0.418
MNIST;[784, 100, 10];0.001;0.4;zero;128;0.863;0.875;0.862;0.861;0.088
